[CUDA] Initialized TensorBoard logging to ./logs/
Global Meta-Models Initialized and shared in memory.
Starting 8 persistent workers...
Meta-Iter 187/6400 | Loss: 85.7948 | Reward: -39.1914 | Success: 5.96%
Meta-Iter 188/6400 | Loss: 72.6091 | Reward: -47.3044 | Success: 4.92%
Meta-Iter 189/6400 | Loss: 47.9738 | Reward: -68.0518 | Success: 2.34%
Meta-Iter 190/6400 | Loss: 76.0732 | Reward: -46.4456 | Success: 5.14%
Meta-Iter 191/6400 | Loss: 83.8754 | Reward: -58.8799 | Success: 3.58%
Meta-Iter 192/6400 | Loss: 41.6185 | Reward: -67.2908 | Success: 2.57%
Meta-Iter 193/6400 | Loss: 52.3645 | Reward: -62.7291 | Success: 3.22%
Meta-Iter 194/6400 | Loss: 38.0471 | Reward: -66.3068 | Success: 2.54%
Meta-Iter 195/6400 | Loss: 92.1029 | Reward: -49.2245 | Success: 4.65%
Meta-Iter 196/6400 | Loss: 55.1087 | Reward: -57.7673 | Success: 3.87%
Meta-Iter 197/6400 | Loss: 81.5797 | Reward: -31.3365 | Success: 6.54%
Meta-Iter 198/6400 | Loss: 75.4407 | Reward: -38.5659 | Success: 5.79%
Meta-Iter 199/6400 | Loss: 59.2006 | Reward: -53.0153 | Success: 4.46%
Meta-Iter 200/6400 | Loss: 57.6189 | Reward: -37.5526 | Success: 6.02%
Saved Checkpoint to ./models/ at Meta-Iteration 200
Meta-Iter 201/6400 | Loss: 44.5279 | Reward: -59.5873 | Success: 3.48%
Meta-Iter 202/6400 | Loss: 20.2914 | Reward: -68.1081 | Success: 2.70%
Meta-Iter 203/6400 | Loss: 52.3115 | Reward: -42.6754 | Success: 5.57%
Meta-Iter 204/6400 | Loss: 23.9665 | Reward: -77.4472 | Success: 1.33%
Meta-Iter 205/6400 | Loss: 96.2935 | Reward: -53.1771 | Success: 3.94%
Meta-Iter 206/6400 | Loss: 95.0952 | Reward: -37.5188 | Success: 5.83%
Meta-Iter 207/6400 | Loss: 73.0807 | Reward: -58.3523 | Success: 3.87%
Meta-Iter 208/6400 | Loss: 133.7641 | Reward: -12.9832 | Success: 8.72%
Meta-Iter 209/6400 | Loss: 49.7001 | Reward: -59.0880 | Success: 3.58%
Meta-Iter 210/6400 | Loss: 39.7081 | Reward: -70.8107 | Success: 2.05%
Meta-Iter 211/6400 | Loss: 70.2477 | Reward: -36.7527 | Success: 6.22%
Meta-Iter 212/6400 | Loss: 57.3573 | Reward: -55.0223 | Success: 4.04%
Meta-Iter 213/6400 | Loss: 61.8288 | Reward: -61.8506 | Success: 2.93%
Meta-Iter 214/6400 | Loss: 88.4284 | Reward: -42.0040 | Success: 5.40%
Meta-Iter 215/6400 | Loss: 42.4093 | Reward: -59.1667 | Success: 3.52%
Meta-Iter 216/6400 | Loss: 67.4299 | Reward: -29.0146 | Success: 6.87%
Meta-Iter 217/6400 | Loss: 94.2650 | Reward: -32.0839 | Success: 6.45%
Meta-Iter 218/6400 | Loss: 74.6405 | Reward: -46.2768 | Success: 4.79%
Meta-Iter 219/6400 | Loss: 35.1730 | Reward: -70.5875 | Success: 1.73%
Meta-Iter 220/6400 | Loss: 16.8782 | Reward: -59.7289 | Success: 3.45%
Meta-Iter 221/6400 | Loss: 50.4563 | Reward: -68.1054 | Success: 2.38%
Meta-Iter 222/6400 | Loss: 42.1371 | Reward: -58.3260 | Success: 3.45%
Meta-Iter 223/6400 | Loss: 19.2552 | Reward: -79.1788 | Success: 1.07%
Meta-Iter 224/6400 | Loss: 22.3898 | Reward: -70.4407 | Success: 1.69%
Meta-Iter 225/6400 | Loss: 39.9883 | Reward: -70.9729 | Success: 2.28%
Meta-Iter 226/6400 | Loss: 98.5899 | Reward: -25.2275 | Success: 7.58%
Meta-Iter 227/6400 | Loss: 48.7085 | Reward: -62.3297 | Success: 2.99%
Meta-Iter 228/6400 | Loss: 74.4367 | Reward: -25.8499 | Success: 7.45%
Meta-Iter 229/6400 | Loss: 93.0038 | Reward: -13.1172 | Success: 9.15%
Meta-Iter 230/6400 | Loss: 46.8248 | Reward: -43.7598 | Success: 5.50%
Meta-Iter 231/6400 | Loss: 102.1681 | Reward: -44.2333 | Success: 5.11%
Meta-Iter 232/6400 | Loss: 59.4003 | Reward: -60.8902 | Success: 3.29%
Meta-Iter 233/6400 | Loss: 75.6556 | Reward: -46.8478 | Success: 4.95%
Meta-Iter 234/6400 | Loss: 93.6556 | Reward: -42.8986 | Success: 5.21%
Meta-Iter 235/6400 | Loss: 50.8687 | Reward: -61.4727 | Success: 3.19%
Meta-Iter 236/6400 | Loss: 77.5393 | Reward: -50.0360 | Success: 4.23%
Meta-Iter 237/6400 | Loss: 74.0904 | Reward: -50.9621 | Success: 4.75%
Meta-Iter 238/6400 | Loss: 59.7006 | Reward: -62.3273 | Success: 2.83%
Meta-Iter 239/6400 | Loss: 52.8127 | Reward: -45.7914 | Success: 5.14%
Meta-Iter 240/6400 | Loss: 51.0905 | Reward: -49.7209 | Success: 4.82%
Meta-Iter 241/6400 | Loss: 97.9591 | Reward: -23.8227 | Success: 7.62%
Meta-Iter 242/6400 | Loss: 86.6198 | Reward: -52.0133 | Success: 4.26%
Meta-Iter 243/6400 | Loss: 78.2466 | Reward: -36.8505 | Success: 5.66%
Meta-Iter 244/6400 | Loss: 49.4197 | Reward: -66.4576 | Success: 2.64%
Meta-Iter 245/6400 | Loss: 52.7927 | Reward: -57.3254 | Success: 3.39%
Meta-Iter 246/6400 | Loss: 80.4414 | Reward: -40.5784 | Success: 5.57%
Meta-Iter 247/6400 | Loss: 16.6532 | Reward: -80.0156 | Success: 1.11%
Meta-Iter 248/6400 | Loss: 95.6600 | Reward: -44.8715 | Success: 4.98%
Meta-Iter 249/6400 | Loss: 38.1704 | Reward: -64.7131 | Success: 2.70%
Meta-Iter 250/6400 | Loss: 59.2467 | Reward: -52.6738 | Success: 4.13%
Saved Checkpoint to ./models/ at Meta-Iteration 250
Meta-Iter 251/6400 | Loss: 124.3089 | Reward: -34.0093 | Success: 6.15%
Meta-Iter 252/6400 | Loss: 75.5788 | Reward: -50.5533 | Success: 4.07%
Meta-Iter 253/6400 | Loss: 96.9365 | Reward: -47.9169 | Success: 4.46%
Meta-Iter 254/6400 | Loss: 52.8196 | Reward: -51.6320 | Success: 4.33%
Meta-Iter 255/6400 | Loss: 44.1197 | Reward: -63.0529 | Success: 2.93%
Meta-Iter 256/6400 | Loss: 58.5465 | Reward: -51.0732 | Success: 4.75%
Meta-Iter 257/6400 | Loss: 92.7853 | Reward: -37.4904 | Success: 5.76%
Meta-Iter 258/6400 | Loss: 37.9852 | Reward: -64.8075 | Success: 2.77%
Meta-Iter 259/6400 | Loss: 69.0299 | Reward: -57.6870 | Success: 2.99%
Meta-Iter 260/6400 | Loss: 68.9622 | Reward: -43.6273 | Success: 5.24%
Meta-Iter 261/6400 | Loss: 75.3513 | Reward: -45.2379 | Success: 4.59%
Meta-Iter 262/6400 | Loss: 64.8145 | Reward: -39.3983 | Success: 5.66%
Meta-Iter 263/6400 | Loss: 56.6240 | Reward: -63.2434 | Success: 2.86%
Meta-Iter 264/6400 | Loss: 41.1657 | Reward: -57.5113 | Success: 3.45%
Meta-Iter 265/6400 | Loss: 40.3522 | Reward: -61.2069 | Success: 3.12%
Meta-Iter 266/6400 | Loss: 87.6901 | Reward: -37.2499 | Success: 5.76%
Meta-Iter 267/6400 | Loss: 34.0285 | Reward: -45.7348 | Success: 5.11%
Meta-Iter 268/6400 | Loss: 52.6247 | Reward: -57.4283 | Success: 3.39%
Meta-Iter 269/6400 | Loss: 79.9847 | Reward: -55.7573 | Success: 3.65%
Meta-Iter 270/6400 | Loss: 32.3808 | Reward: -65.6648 | Success: 2.41%
Meta-Iter 271/6400 | Loss: 34.1164 | Reward: -73.0428 | Success: 1.86%
Meta-Iter 272/6400 | Loss: 15.9919 | Reward: -76.8735 | Success: 0.98%
Meta-Iter 273/6400 | Loss: 57.0598 | Reward: -54.6089 | Success: 3.74%
Meta-Iter 274/6400 | Loss: 137.4788 | Reward: -34.3934 | Success: 6.38%
Meta-Iter 275/6400 | Loss: 76.4580 | Reward: -25.9379 | Success: 7.49%
Meta-Iter 276/6400 | Loss: 93.8471 | Reward: -35.4830 | Success: 5.66%
Meta-Iter 277/6400 | Loss: 86.8288 | Reward: -50.8608 | Success: 4.23%
Meta-Iter 278/6400 | Loss: 32.1789 | Reward: -54.8317 | Success: 3.74%
Meta-Iter 279/6400 | Loss: 50.0386 | Reward: -51.7231 | Success: 4.00%
Meta-Iter 280/6400 | Loss: 86.4335 | Reward: -41.2154 | Success: 5.27%
Meta-Iter 281/6400 | Loss: 68.4618 | Reward: -44.0651 | Success: 4.95%
Meta-Iter 282/6400 | Loss: 25.1500 | Reward: -59.3771 | Success: 3.74%
Meta-Iter 283/6400 | Loss: 128.8615 | Reward: -37.6817 | Success: 5.89%
Meta-Iter 284/6400 | Loss: 84.4995 | Reward: -53.3549 | Success: 3.68%
Meta-Iter 285/6400 | Loss: 88.0272 | Reward: -36.7825 | Success: 5.92%
Meta-Iter 286/6400 | Loss: 63.1362 | Reward: -63.1808 | Success: 2.90%
Meta-Iter 287/6400 | Loss: 76.4826 | Reward: -56.6655 | Success: 3.26%
Meta-Iter 288/6400 | Loss: 69.9662 | Reward: -48.6763 | Success: 4.39%
Meta-Iter 289/6400 | Loss: 66.7444 | Reward: -55.4896 | Success: 3.35%
Meta-Iter 290/6400 | Loss: 91.5886 | Reward: -39.3126 | Success: 5.21%
Meta-Iter 291/6400 | Loss: 82.9767 | Reward: -48.9971 | Success: 4.26%
Meta-Iter 292/6400 | Loss: 53.9016 | Reward: -52.3328 | Success: 4.00%
Meta-Iter 293/6400 | Loss: 33.3321 | Reward: -70.7756 | Success: 1.79%
Meta-Iter 294/6400 | Loss: 60.9681 | Reward: -53.1784 | Success: 4.00%
Meta-Iter 295/6400 | Loss: 71.6026 | Reward: -44.0787 | Success: 4.72%
Meta-Iter 296/6400 | Loss: 32.2524 | Reward: -53.9850 | Success: 4.07%
Meta-Iter 297/6400 | Loss: 114.2205 | Reward: -31.6068 | Success: 6.28%
Meta-Iter 298/6400 | Loss: 70.2619 | Reward: -56.5040 | Success: 3.16%
Meta-Iter 299/6400 | Loss: 44.7973 | Reward: -56.4380 | Success: 3.61%
